"StediId","PrimaryPayerId","DisplayName","Names","Aliases","EligibilityInquiry","EligibilityInquiryEnrollmentRequired","EligibilityInquiryEnrollmentType","EligibilityInquiryEnrollmentTimeframe","ClaimStatusInquiry","ClaimStatusInquiryEnrollmentRequired","ClaimStatusInquiryEnrollmentType","ClaimStatusInquiryEnrollmentTimeframe","ProfessionalClaim","ProfessionalClaimEnrollmentRequired","ProfessionalClaimEnrollmentType","ProfessionalClaimEnrollmentTimeframe","InstitutionalClaim","InstitutionalClaimEnrollmentRequired","InstitutionalClaimEnrollmentType","InstitutionalClaimEnrollmentTimeframe","DentalClaim","DentalClaimEnrollmentRequired","DentalClaimEnrollmentType","DentalClaimEnrollmentTimeframe","ClaimPaymentAdvice","ClaimPaymentAdviceEnrollmentRequired","ClaimPaymentEnrollmentType","ClaimPaymentEnrollmentTimeframe","CoordinationOfBenefits","CoordinationOfBenefitsEnrollmentRequired","CoordinationOfBenefitsEnrollmentType","CoordinationOfBenefitsEnrollmentTimeframe","ClaimAttachmentsSupport","ClaimAttachmentsSupportEnrollmentRequired","ClaimAttachmentEnrollmentType","ClaimAttachmentEnrollmentTimeframe","EmployerIdentificationNumbers","CoverageTypes","OperatingStates","PtanRequired","ParentPayerGroupId","WebsiteUrl"
"TGWAI","COMMF","Community First Health Plans","First Community Health Plan|University Health System","11222|14375|3809|42723|8925|COMMF|EXFCY","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","medical","TX","false","XPKCN","https://communityfirsthealthplans.com"
"TGXAN","77741","Keystone First Pennsylvania Community HealthChoices","Keystone First VIP Choice","6649|6751|77741|77741MA|KSVPC|KVIPC|PCBLS","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","true","false","","","","dental|medical","","false","",""
"TGXDN","CH201","Contessa Health","","CH201","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TGZKH","94123","Kaiser Foundation Health Plan Hawaii","Kaiser Permanente Health Plan Hawaii","94123|KSRHI|RH0011","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","dental|medical","","false","XKDBO",""
"THDRS","CGIMS","Continental General Insurance Company","","10540|71404|CGIMS","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"THPOG","TMMC1","Torrance Memorial","","7801|8566|TMMC1","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"THTLS","00611","Regence BlueShield of Idaho","Blue Shield of Idaho (Regence)|Regence BlueShield Idaho","00611|10052|3540|611|7426|CBID2|IDBCS|ZBID1|ZBID1MA","true","false","","","true","false","","","true","false","","","true","false","","","true","false","","","true","true","ONE_CLICK","DAYS","false","false","","","false","false","","","","dental|medical","ID|WA","false","ZLVTI",""
"TIAGY","HLPUH","Hill Physicians United Healthcare PPO","Hill Physicians UnitedHealthcare Preferred Provider Organization","7825|HLPUH","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TIFKX","SAMG1","South Atlantic Medical Group","","1122|1550|SAMG1","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"TIOLQ","34080","MultiPlan Wisconsin Preferred Provider Network (WPPN)","","34080","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TIUCT","J1729","Bank of America","","J1729","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TIUDR","07202","Medicare Louisiana Part B","Novitas - Louisiana","07202|1460|LAMCR|SMLA0","true","true","ONE_CLICK","HOURS","false","false","","","true","true","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"TIWGZ","ZP3600","Bankers Conseco Life Insurance Company","","ZP3600","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","","","false","PBUGR",""
"TIXVG","66917","Parkland Community Health Plan","","00272|10643|1763|66917|8967|PRKLND","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","DAYS","false","false","","","false","false","","","","medical","TX","false","",""
"TJAPU","VNSPC","Volunteers of America National Service","","VNSPC","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TJCKL","CCHP1","Cook Children's Health Plan (CHIP)","Cook Children's Health Plan","10610|4751|8924|CCHP1|COOKCH","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","dental|medical","TX","false","","https://www.cookchp.org"
"TJENP","16663","BANNER MEDICARE ADVANTAGE PLUS (PPO)","","16663","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"TJPRF","99726","TRICARE West Region","Tricare West|Triwest Tricare","10189|6286|99726|SCWI0|TRICAR|TRICW|TRICWMA|TWEST","true","false","","","true","false","","","true","true","","","true","true","","","false","false","","","true","true","ONE_CLICK","WEEKS","false","false","","","false","false","","","","dental|medical","","false","",""
"TJRVZ","62118","Aetna Genworth Life Insurance Company","Accendo Insurance Company|Aetna Administrator Medicare Supplement|Aetna SSI|Aetna Senior Supplemental Insurance","00225|00233|62118|6870|AESSI|ATNSSI|QIJCB","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","true","true","MULTI_STEP","HOURS","false","false","","","false","false","","","","dental|medical","","false","",""
"TJTXO","J1642","Green Diamond Washington","","J1642","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TJYFB","75237","HealthSmart Accel","","5280|75237|9584","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TJYUK","J1347","Benefit Administrative Services (BAS)","Bloomingdale's|Macy's Corporate Services Incorporated","J1347","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"TKACD","J1852","American Interstate","","J1852","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"TKDCO","10876","Santa Clara Family Health Plan","Santa Clara Family Health Plan","10876|24077|24077MA|3613|5181|SCFHP","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","medical","CA","false","",""
"TKDUF","LHP31","Landmark Health Plan of California","","LHP31","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
